"size", "time", "only_vectors"
790000, 0.050000, 1
810000, 0.050000, 1
810000, 0.050000, 1
810000, 0.050000, 1
810000, 0.040000, 1
810000, 0.050000, 1
810000, 0.050000, 1
810000, 0.050000, 1
810000, 0.070000, 1
810000, 0.060000, 1
810000, 0.040000, 1
830000, 0.050000, 1
830000, 0.050000, 1
830000, 0.070000, 1
830000, 0.050000, 1
830000, 0.050000, 1
830000, 0.060000, 1
830000, 0.050000, 1
830000, 0.050000, 1
830000, 0.040000, 1
830000, 0.060000, 1
850000, 0.060000, 1
850000, 0.050000, 1
850000, 0.050000, 1
850000, 0.050000, 1
850000, 0.050000, 1
850000, 0.050000, 1
850000, 0.060000, 1
850000, 0.050000, 1
850000, 0.060000, 1
850000, 0.050000, 1
870000, 0.050000, 1
870000, 0.060000, 1
870000, 0.060000, 1
870000, 0.050000, 1
870000, 0.060000, 1
870000, 0.050000, 1
870000, 0.050000, 1
870000, 0.050000, 1
870000, 0.050000, 1
870000, 0.050000, 1
890000, 0.060000, 1
890000, 0.050000, 1
890000, 0.050000, 1
890000, 0.060000, 1
890000, 0.050000, 1
890000, 0.050000, 1
890000, 0.060000, 1
890000, 0.050000, 1
890000, 0.060000, 1
890000, 0.060000, 1
910000, 0.060000, 1
910000, 0.060000, 1
910000, 0.060000, 1
910000, 0.050000, 1
910000, 0.060000, 1
910000, 0.050000, 1
910000, 0.060000, 1
910000, 0.050000, 1
910000, 0.060000, 1
910000, 0.050000, 1
930000, 0.050000, 1
930000, 0.060000, 1
930000, 0.060000, 1
930000, 0.050000, 1
930000, 0.060000, 1
930000, 0.050000, 1
930000, 0.060000, 1
930000, 0.090000, 1
930000, 0.070000, 1
930000, 0.080000, 1
950000, 0.050000, 1
950000, 0.060000, 1
950000, 0.050000, 1
950000, 0.060000, 1
950000, 0.060000, 1
950000, 0.050000, 1
950000, 0.060000, 1
950000, 0.060000, 1
950000, 0.050000, 1
950000, 0.060000, 1
970000, 0.060000, 1
970000, 0.060000, 1
970000, 0.050000, 1
970000, 0.060000, 1
970000, 0.070000, 1
970000, 0.060000, 1
970000, 0.080000, 1
970000, 0.060000, 1
970000, 0.060000, 1
970000, 0.060000, 1
990000, 0.060000, 1
990000, 0.060000, 1
990000, 0.050000, 1
990000, 0.060000, 1
990000, 0.060000, 1
990000, 0.060000, 1
990000, 0.060000, 1
990000, 0.060000, 1
990000, 0.060000, 1
990000, 0.060000, 1